short_url,title,abstract,
https://bit.ly/3sFuhrg,"Em alerta para estiagem, associação inicia preparação para incêndios florestais em MS 'o quanto antes'","A estiagem prolongada em 2021 fez com diretores da Reflore-MS - Associação Sul-Mato-Grossense de Produtores e Consumidores de Florestas Plantadas de Mato Grosso do Sul – fizessem a primeira reunião preparativa já nesta terça-feira (15). Apesar de o período crítico de incêndios florestais ser nos meses julho, agosto e setembro, a ideia é iniciar a preparação o quanto antes. O presidente da Reflore-MS, Junior Ramires, informou que o governo do Estado adquiriu uma aeronave para ajudar no monitoramento das regiões mais propícias a incêndios.",,
https://bit.ly/3lUcz1t,Queimada atinge casa de festas e empresário estima R$ 80 mil de prejuízo,,,
https://bit.ly/3g4FlsE,"Com safra do milho atingida por geada e estiagem, produtores aceleram colheita para garantir seguro",,,
https://bit.ly/3g7mn4w,Polícia tem suspeito de estuprar jovem que precisou de cirurgia,,,
https://bit.ly/3sjQ0UY,Frente parlamentar discute formas de combate contra queda no nível dos rios de MS,,,
https://bit.ly/3m6uVwh,"Com novas mortes entre idosos, MS pede aplicação de 3ª dose da vacina",,,
https://bit.ly/3CS1lk8,"Pela 1ª vez em oito meses, MS está fora da zona de alerta em ocupação das UTIs Covid",,,
https://bit.ly/3iQiZwL,Ministério da Saúde realiza projeto-piloto para implementar Plano Nacional de Testagem da Covid-19,,,
https://bit.ly/3yS8u1s,Escolas são ambientes de refúgio na Capital que já registrou 216 casos de estupro neste ano,,,
https://bit.ly/2VYr6y4,"Clima severo impõe racionamento de água para Estados do Sul, Sudeste e Centro-Oeste",,, 
https://bit.ly/3xXetAG,"Após 10 meses, 1ª paciente do ambulatório pós-covid da APAE recebe alta",,,
https://bit.ly/2VZwgKA,"Com redução na imunidade, 3ª dose de vacina para idosos deve se confirmar",,,
https://bit.ly/2W3co8Z,"Superbactéria pode ter aumentado mortes por covid em hospitais de Campo Grande, aponta denúncia",,,
https://bit.ly/3AOK21z,Bombeiros mobilizam efetivo extra para combate a incêndio em Jaraguari,,,
https://bit.ly/3sr0wdq,La variante Delta hace tambalear la cuota de cobertura para alcanzar la inmunidad colectiva,,,
https://bit.ly/2UnKwMq,"Circulando por nove bairros, fumacê intensifica ações de combate ao Aedes",,,
https://bit.ly/3iPPwTA,"Fiestas, conciertos y descontrol presagian una pronta cuarta ola",,,
https://bit.ly/3k6gi9P,Brasil atinge 50 milhões de brasileiros com a vacinação completa contra a Covid-19,,,
https://bit.ly/3gbubSO,MS quer priorizar 3ª dose a idosos no lugar de vacinar todos os adolescentes,,,
https://bit.ly/2XzZZud,"Com variante Delta 'chegando', UFMS pode fazer sequenciamento genético de amostras de covid",,,
https://bit.ly/3yXaRQH,Covid-19: Autoridades consideram “preocupante” aumento da taxa de incidência acumulada em Cabo Verde,,,
https://bit.ly/3gerwYv,"Com vacinação em massa, cidades na fronteira de MS têm queda de 79% nas mortes por covid",,,
https://glo.bo/3ATuA48,Governo de MS põe fim a toque de recolher a partir do dia 23 de agosto,,,
https://bit.ly/3kaAaIW,"Em quatro dias, MS já tem 10% dos adolescentes imunizados contra covid",,,
https://glo.bo/3xWIRvg,Novo caso da variante Lambda no Brasil foi identificado em sequenciamento de rotina,,,
https://bit.ly/3xZhoJ4,"Em reunião com representantes do setor, Sesau define detalhes para levar vacinação a supermercados da Capital",,,
https://bit.ly/37QGDmf,Recife confirma a primeira morte por dengue do ano num momento de alta de casos de arboviroses na capital,,,
https://bit.ly/2XsTTvu,Prefeitura abre licitação para projeto de obras de controle de enchentes em Campo Grande,,,
https://bit.ly/3gdyahT,Umidade extremamente baixa e temperaturas próximas dos 40°C devem ser registradas em Rondônia nos próximos dias,,,
https://bit.ly/3CQwc0m,Saúde seleciona 204 hospitais em projeto para reduzir infecção hospitalar em UTI,,,
https://bit.ly/3APmMQQ,Vacinação de adolescentes e crianças contra a covid-19: tire as principais dúvidas,,,
https://bit.ly/3D2J2ZG,Capital espera aval do Ministério da Saúde para 3ª dose em idosos,,,
https://bit.ly/3stUqJd,"Com mais imunizados no País, casos e mortes por covid continuam em queda em MS",,,
https://bit.ly/3xVeMMB,Internações por Covid caíram 31% em Mato Grosso do Sul nos últimos 14 dias,,,
https://bit.ly/3k5VBe6,Anvisa recusa uso emergencial de Coronavac para crianças de 3 a 17 anos,,,
https://bit.ly/3stII1b,"Mesmo com 58% da população vacinada, MS deve manter uso de máscaras até dezembro",,,
https://bit.ly/37YQNkQ,"Com previsão de menos doses de vacina, MS ameaça entrar na Justiça contra Ministério da Saúde",,,
https://bit.ly/37TlWX4,InfoGripe indica possível retomada do crescimento de casos de SRAG,,,
https://bit.ly/3kbX6Yb,Mais da metade dos municípios de MS não tiveram morte por covid na última semana,,,
https://bit.ly/2W1NC9r,¿Cuáles serán los impactos más fuertes del cambio climático en el futuro latinoamericano?,,,
https://bit.ly/2W6qWFc,"Agevisa realiza monitoramento por telefone de gestantes vacinadas contra covid-19, em Porto Velho",,,
https://bit.ly/3mhRXAA,Estudo aponta alta proteção da Coronavac em casos graves causados pela Delta,,,
https://bit.ly/2W5BNiv,Vacuna contra la sida L'Hospital de Can Ruti prova en humans la vacuna contra el VIH,,,
https://bit.ly/2W6JNQv,Ministério da Saúde realiza projeto-piloto para implementar Plano Nacional de Testagem da Covid-19,,,
https://bit.ly/3giYib8,Unidade de Reabilitação Pós-Covid do Ceir é modelo para outros estados,,,
https://bit.ly/3z3CG9Z,Coronavírus Covid-19: pesquisadores alertam para risco da variante Delta em crianças,,,
https://bit.ly/3gjjzS5,SES blinda estudantes e aplica teste contra a Covid em equipe que atuará nos Jogos Escolares da Juventude de MS,,,
https://bit.ly/3z6lKiX,"Com estabilização de casos e ampla cobertura vacinal, Prefeitura revoga toque de recolher",,,
https://bit.ly/3mkyE9O,"Incêndio em Campo Grande: após noite em chamas, incêndio deixa rastro de destruição no Parque dos Poderes",,,
